PlainCardData,PlainCardData
PlcAndNm,PlaceAndName
Pmt,Payment
PmtCmonInf,PaymentCommonInformation
PmtCtrl,PaymentControl
PmtCxlId,PaymentCancellationId
PmtFr,PaymentFrom
PmtFrRtrCrit,PaymentFromReturnCriteria
PmtId,PaymentId
PmtInfCxl,PaymentCancellationInformation
PmtInfCxlSts,PaymentCancellationStatusInformation
PmtInfId,PaymentInformationId
PmtInstrSts,PaymentInstructionStatus
PmtInstrStsDtTm,PaymentInstructionStatusDateTime
PmtInstrStsDtTmInd,PaymentInstructionStatusDateTimeInd
PmtInstrStsInd,PaymentInstructionStatusInd
PmtInstrStsRsnInd,PaymentInstructionStatusReasonInd
PmtMTInd,PaymentMessageTypeInd
PmtMtd,PaymentMethod
PmtMtdInd,PaymentMethodInd
PmtRtrCrit,PaymentReturnCriteria
PmtSch,PaymentSchedule
PmtTo,PaymentTo
PmtToRtrCrit,PaymentToReturnCriteria
PmtTp,PaymentType
PmtTpInd,PaymentTypeInd
PmtTpInf,PaymentTypeInformation
PoolId,PoolId
PoolRef,PoolReference
PosInQ,PositionInQueue
PrcgDt,ProcessingDate
PrcgDtInd,ProcessingDateInd
PrcgId,ProcessingId
PrcgPos,ProcessingPosition
PrcgSts,ProcessingStatus
PrcgTp,ProcessingType
PrcgVldtyTm,ProcessingValidityTime
PrcgVldtyTmInd,ProcessingValidityTimeInd
PrcrTxId,ProcessorTransactionId
Prd,Period
PrePdAcct,PrepaidAccount
PrefrdMtd,PreferredMethod
PrevslySttldAmt,PreviouslySettledAmount
Pric,Price
PricChng,PriceChange
PricTp,PriceType
PricgAmt,PriveAmount
PrntAcct,PrinterAccount
PrtLineWidth,PrinterLineWidht
PrtlSttlm,PartialSettlement
PrtlSttlmInd,PartialSettlementInd
Prtry,Proprietary
PrtryAmt,ProprietaryAmount
PrtryData,ProprietaryData
PrtryFrmtInvstgtn,ProprietaryFormatInvestigation
PrtryId,ProprietaryId
PrtryIdSrc,ProprietaryIdSource
PrtryNb,ProprietaryNumber
PrtryRjctn,ProprietaryRejection
PrtryStsRsn,ProprietaryStatusReason
Prty,Priority
PrtyInd,PriorityInd
PrvcOfBirth,ProvinceOfBrith
PrvsInstgAgt1,PreviousInstructingAgent1
PrvsInstgAgt1Acct,PreviousInstructingAgent1Account
PrvsInstgAgt2,PreviousInstructingAgent2
PrvsInstgAgt2Acct,PreviousInstructingAgent2Account
PrvsInstgAgt3,PreviousInstructingAgent3
PrvsInstgAgt3Acct,PreviousInstructingAgent3Account
PrvsPrtlConfId,PreviousPartialConfirmationId
PrvsRef,PreviousReference
PrvsTradDtTm,PreviousTradeDateTime
PrvsTtlNAV,PreviousTotalNAV
PrvsTtlUnitsNb,PreviousTotalUnitsNumber
PrvtId,PersonId
Prxy,Proxy
PssblDplctInstr,PossiblyDuplicateInstruction
PstBx,Postbox
PstCd,PostalCode
PstCdId,PostalCodeId
PstlAdr,PostalAddress
PstngDt,PostingDate
PtDt,PointDate
PtInTm,PointInTime
PtcptNetgId,
Pties,Parties
Pty,Party
PtyId,PartyId
PtyNm,PartyNumber
Purp,Purpose
PurpInd,PurposeInd
Pyee,Payee
PyeeAcct,PayeeAccount
Pyer,Payer
PyerAcct,PayerAccount
QId,QueueId
Qlfr,Qualifier
QlfrInd,QualifierInd
QryDef,QueryDefinition
QryNm,QueryName
QryRef,QueryReference
QryTp,QueryType
QtdCcy,QuotedCurrency
QtnDt,QuotationDate
Qty,Quantity
QtyBrkdwn,QuantityBreakdown
RTGS,RTGS
Rate,Rate
RateData,RateData
Rcrd,Record
RcrdId,RecordId
Rct,Receipt
RctDtls,ReceiptDetails
RcvgAgt,ReceivingAgent
Rcvr,Receiver
RcvrIndvCtct,ReceiverIndividualContact
Ref,Reference
RefIssr,ReferenceIssuer
RefNb,ReferenceNumber
RefOwnr,ReferenceOwner
Refs,References
RegnId,RegionId
ReopCaseIndctn,ReopenCaseIndication
ReqActn,RequestAction
ReqDtls,RequestDetails
ReqForDplct,RequestForDuplicate
ReqHdlg,RequestHandling
ReqHdr,RequestHeader
ReqNrrtv,RequestNarrative
ReqOrgtr,RequestOriginator
ReqRef,RequestReference
ReqToModfyPmt,RequestToModifyPayment
ReqTp,RequestType
ReqdBalTp,RequestedBallanceType
ReqdColltnDt,RequestedCollectionDate
ReqdCompstn,RequestedComposition
ReqdDbtAuthstn,RequestedDebitAuthorisation
ReqdExctnDt,RequestedExecutionDate
ReqdExctnDtInd,RequestedExecutionDateInd
ReqdExctnDtTm,RequestedExecutionDateTime
ReqdMsgNmId,RequestMessageNameId
ReqdNAVCcy,RequestedNAVCurrency
ReqdTxTp,RequestedTransactionType
ReqdValtn,RequestedValidation
RfrdDocAmt,ReferencedDocumentsAmount
RfrdDocInf,ReferencedDocumentInformation
Rgn,Region
RgnId,RegionId
RgnNb,RegionNumber
RgnNm,RegionName
RjctInvstgtn,RejectInvestigation
Rjctd,Rejected
RjctdMod,
RjctnRsn,RejectionReason
RltdAcct,RelatedAccount
RltdAgts,RelatedAgents
RltdDt,RelatedDate
RltdDts,RelatedDates
RltdFileData,RelatedFileFata
RltdInvstgtnData,RelatedInvestigationData
RltdPric,RelatedPrice
RltdPties,
RltdQties,RelatedQuantities
RltdRef,RelatedReference
RltdRefs,RelatedReferences
RltdRmtInf,RelatedRemoteInformation
RmngAmt,
RmngSttlmAmt,
RmtAmtAndTp,
RmtId,
RmtInf,
RmtLctnDtls,
RmtLctnElctrncAdr,
RmtLctnMtd,
RmtLctnPstlAdr,
RmtdAmt,
Role,Role
Room,Room
Rpr,Repair
Rpt,Report
RptData,ReportData
RptDt,ReportDate
RptDtTm,ReportDateTime
RptGnlDtls,ReportGeneralDetails
RptHdr,ReportHeader
RptId,ReportId
RptNb,ReportNumber
RptOrErr,ReportOrError
RptPgntn,ReportPagination
RptPrd,ReportProducer
RptTp,ReportType
RptgPrd,
RptgReq,ReportingRequest
RptgSeq,ReportingSequence
RptgSrc,ReportingSource
Rqstr,Requestor
RqstrInvstgtnId,RequestorInvestigationId
RsltnOfInvstgtn,ResultOfInvestigation
RsltnRltdInf,ResultingRelatedInformation
RslvdCase,
Rsn,Reason
RsnSubTp,ReasonSubType
Rspndr,Responder
RspndrInvstgtnId,ResponderInvestigationId
RspnsblPty,ResponsibleParty
RspnsblPtyId,ResponsiblePartyId
RspnsblPtyInd,ResponsiblePartyInd
Rspnsblty,Responsibility
RstrctnTp,RestrictionType
Rsvatn,Reservation
RsvatnCrit,ReservationCriteria
RsvatnId,ReservationId
RsvatnOrErr,ReservationOrError
RsvatnQryDef,
RtrAcct,ReturnAccount
RtrAdr,ReturnAddress
RtrBizDayInf,ReturnBusinessDayInformation
RtrCcyXchgRate,ReturnCurrencyExchangeRate
RtrCrit,ReturnCriteria
RtrGnlBizInf,ReturnGeneralBusinessInformation
RtrInf,ReturnInformation
RtrLmt,ReturnLimit
RtrMmb,ReturnMember
RtrRsvatn,ReturnReservation
RtrStgOrdr,ReturnStagingOrder
RtrTx,ReturnTransaction
Rule,Rule
RvslInd,ReversalInd
SaleRcncltnId,SaleReconsiliationId
Sbjt,Subject
SbjtDtls,SubjectDetails
SbjtDtlsInd,SubjectDetailsInd
SbjtInd,SubjectInd
SchCrit,SearchCriteria
SchdlTp,ScheduledType
SchdldTm,ScheduledTime
SchmeNm,SchemeName
SctiesForm,SecuritiesForm
SctiesSttlmTxId,SecuritiesSettlementTransactionId
SctiesTxRefs,SecuritiesTransactionReferences
Seq,Sequence
SeqNb,SequenceNumber
SeqNbRg,SequenceNumberRegion
SeqTp,SequenceType
SetPrdfndOrdr,SetPredefinedOrder
SetStgOrdr,SetStagingOrder
SfkpgAcct,SafekeepingAccount
Sfx,Suffix
Sgn,Sign
Sgntr,Signature
Shrt,Short
ShrtBizId,ShortBusinessId
ShrtNb,ShortNumber
ShrtPosLmt,ShortPositionLimit
SndgFI,SendingFinancialInstitution
Sndr,Sender
SndrIndvCtct,SenderIndividualContact
Sngl,Single
SplmtryData,SupplementaryData
SplmtryId,SupplementaryId
SrcCcy,SourceCurrency
SrlNb,SerialNumber
SsnPrd,SeasonPeriod
SsnPrdInd,SeasonPeriodInd
Sspd,Suspended
StartDt,StartDate
StartDtTm,StartDateTime
StartDtTmInd,StartDateTimeInd
StartTm,StartTime
Stat,State
StgOrdr,StandingOrder
StgOrdrCrit,StandingOrderCriteria
StgOrdrDtls,StandingOrderDetails
StgOrdrId,StandingOrderId
StgOrdrIdInd,StandingOrderIdInd
StgOrdrInd,StandingOrderInd
StgOrdrOrErr,StandingOrderOrError
StgOrdrQryDef,StandingOrderQueryDefinition
StlDt,StaleDate
Stmt,Statement
StmtDtls,StatementDetails
StmtId,StatementId
StmtNtry,StatementEntry
StmtPgntn,StatementPagination
StmtRpt,StatementReport
Strd,Structured
StrtBldgId,StreetBuildingId
StrtNm,SteetName
Sts,Status
StsAndRsn,StatusAndReason
StsDt,StatusDate
StsInd,StatusInd
StsRsn,StatusReason
Sttld,Settled
SttldAmt,SettledAmount
Sttlm,Settlement
SttlmAcct,SettlementAccount
SttlmAdvc,SettlementAdvice
SttlmAmt,SettlementAmount
SttlmCcy,SettlementCurrency
SttlmCcyCd,SettlementCurrencyCode
SttlmDt,SettlementDate
SttlmInf,SettlementInformation
SttlmMtd,SettlementMethod
SttlmPlc,SettlementPlace
SttlmSsnIdr,SettlementSessionIdentifier
SttlmSts,SettlementStatus
SttlmTmIndctn,SettlementTimeIndication
SubBal,SubBallance
SubDept,SubDepartment
SubFmlyCd,SubFamilyCode
SubSvc,SubService
SubTp,SubType
SubTtlAmt,SubTotalAmount
SubTtlUnitsNb,SubTotalUnitsNumber
Sum,Sum
Svc,Service
SvcAdjstmnt,ServiceAdjustment
SvcCd,ServiceCode
SvcChrgHstAmt,ServiceChargeHostAmount
SvcDtl,ServiceDetail
SvcLvl,ServiceLevel
SvcTax,ServiceTax
SvcTaxPricAmt,ServiceTaxPriceAmount
SvcTp,ServiceType
Svcr,Servicer
SysCcy,SystemCurrency
SysCcyInd,SystemCurrencyInd
SysDt,SystemDate
SysDtInd,SystemDateInd
SysId,SystemId
SysIdInd,SystemIdInd
SysInfPerCcy,SystemInformationPerCurrency
SysMmb,SystemMember
SysMmbInd,SystemMemberInd
SysNm,SystemName
SysSts,SystemStatus
SysStsInd,SystemStatusInd
Tax,Tax
TaxAmt,TaxAmount
TaxClctn,TaxCalculation
TaxCtct,TaxContact
TaxDsgnt,TaxDesignation
TaxDueToRgn,TaxDueToRegion
TaxId,TaxId
TaxRegnNb,TaxRegionNumber
TaxRgn,TaxRegion
TaxRmt,Taxremittance
TaxRsn,TaxReason
TaxTp,TaxType
TaxblBaseAmt,TaxableBaseAmount
TechInptChanl,TechnicalInputChannel
ThrdRmbrsmntAgt,ThirdReimbursementAgent
ThrdRmbrsmntAgtAcct,ThirdReimbursementAgentAccount
Titl,Title
Tm,Time
To,To
ToAmt,ToAmount
ToDt,ToDate
ToDtTm,ToDateTime
ToSeq,ToSequence
ToTm,ToTime
Tp,Type
TpInd,TypeInd
TradActvtyCtrctlSttlmDt,
TradDt,TradeDate
TradDtTm,TradeDateTime
TradId,TradeId
TradPty,TradeParty
TradgPty,TradingParty
TrckData,TrackData
TrckNb,TrackNumber
TrckVal,TrackValue
TrckgDays,TrackingDays
TrfdAmt,TransferredAmount
TrgtCcy,TargetCurrency
TtlAmt,TotalAmount
TtlAmtInd,TotalAmountInd
TtlCdtNtries,TotalCreditEntries
TtlChrg,TotalCharge
TtlChrgs,TotalCharges
TtlChrgsAmt,TotalChargesAmount
TtlChrgsAndTaxAmt,TotalChargesAndTaxAmount
TtlChrgsPerChrgTp,TotalChargesPerChargeType
TtlChrgsPerRcrd,TotalChargesPerRecord
TtlChrgsPerTx,TotalChargesPerTransaction
TtlCshFrCshOrdrs,TotalCashForCashOrders
TtlCshFrUnitOrdrs,TotalCashForUnitOrders
TtlDbtNtries,TotalDebitEntries
TtlNAV,
TtlNAVChngRate,
TtlNb,TotalNumber
TtlNetNtry,TotalNetEntry
TtlNetNtryAmt,TotalNetEntryAmount
TtlNtries,totalEntries
TtlNtriesPerBkTxCd,
TtlOfLkdInstrs,TotalOfLinkedInstructions
TtlTaxAmt,TotalTaxAmount
TtlTaxblBaseAmt,TotalTaxableBaseAmount
TtlUnitsFrCshOrdrs,TotalUnitsForCashOrders
TtlUnitsFrUnitOrdrs,TotalUnitsForUnitOrders
TtlUnitsNb,TotalUnitsNumber
TtlsPerStgOrdr,TotalsPerStagingOrder
TwnLctnNm,TownLocationName
TwnNm,TownName
Tx,Transaction
TxAmt,TransactionAmount
TxCrit,TransactionCriteria
TxCtgy,TransactionCategory
TxCxlSts,TransactionCancellationStatus
TxDtRg,TransactionDateRegion
TxDtTm,TransactionDateTime
TxDtls,TransactionDetails
TxId,TransactionId
TxIdInd,TransactionIdInd
TxInf,TransactionInformation
TxInfAndSts,TransactionInformationAndStatus
TxOrErr,TransactionOrError
TxQryDef,TransactionQueryDefinition
TxRpt,TransactionReport
TxsNb,TransactionsNumber
TxsSummry,TransactionsSummery
Txt,Text
UETR,UETR
URLAdr,
UblToApply,
UltmtCdtr,UltimateCreditor
UltmtDbtr,UltimateDebitor
Umtchd,Unmatched
Undrlyg,Underlying
UndrlygAllcn,
UndrlygInstrm,
UndrlygIntraBal,
UndrlygTx,UnderlyingTransaction
Unit,Unit
UnitCcy,UnitCurrency
UnitNb,UnitNumber
UnitPric,UnitPrice
UnitsNb,UnitsNumber
UpdTp,
UsdAmt,
UsdAmtCdtDbtInd,
UsdAmtInd,
UsdPctg,
UsdPctgInd,
UsrDfnd,UserDefined
Ustrd,Unstructured
VATRegnNb,VATRegionNumber
Val,Value
ValDt,ValueDate
ValDtInd,ValueDateInd
ValDtToDbt,ValueDateToDebit
ValSet,ValueSet
VldToInd,ValidToInd
VldtyFrInd,ValidityForInd
VldtyPrd,ValidityPeriod
VldtyRg,ValidityRegion
VldtyTm,ValidityTime
Vol,Volume
VolChng,VolumeChange
VoltlyMrgn,
VrsnNb,
XMLMsgNm,XMLMessageName
XchgRate,ExchangeRate
XchgRateBase,ExchangeRateBase
XcptnlCshFlowInd,ExceptionalCashFlowInd
XcptnlNetCshFlowInd,ExceptionalNetCashFlowInd
XpctdRspndr,ExpectedResponder
XpctdValDt,ExpectedValueDate
XpryDt,ExpiryDate
Xtnsn,Extension
Yr,Year
ZeroSweepInd,ZeroSweepInd
